REGIONID,DUID,AssetType,SiteName,Owner,TechnologyType,FuelType
 QLD1 ,,Project,Abermain BESS,FIrm Power P/L, Storage - Battery ,Other - Other
 SA1 ,ADPBA1,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Storage - Battery ,Other - Other
 SA1 ,ADPPV1,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Solar PV - Fixed ,Solar - Solar
 SA1 ,ADPPV2,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Solar PV - Fixed ,Solar - Solar
 SA1 ,ADPMH1,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Hydro - Run of River ,Hydro - Water
 SA1 ,ADPPV3,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Solar PV - Fixed ,Solar - Solar
 VIC1 ,,Project,Alberton Wind Farm,Synergy Wind Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Aldoga BESS Stage 1,Acciona Energy Australia Global, Storage - Battery ,Other - Other
 QLD1 ,,Project,Aldoga Solar Farm,Acciona Energy Australia Global Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Altona BESS,Ausnet Transmission Group Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,ANGAST1,Existing Plant,Angaston,Snowy Hydro Ltd, Reciprocating Engine - Compression ignition ,Fossil - Diesel
 SA1 ,ANGAST1,Existing Plant,Angaston,Snowy Hydro Ltd, Reciprocating Engine - Compression ignition ,Fossil - Diesel
 NSW1 ,APPIN,Existing Plant,Appin,EDL CSM NSW Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Waste Coal Mine Gas
 NSW1 ,,Project,Apsley BESS Project,ACENergy Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Aquila Wind,ACEN Australia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Aramara Solar Farm,Aramara Solar Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,ARWF1,Existing Plant,Ararat Wind Farm,Ararat Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Argoon Wind Farm (RES Group) - KCI,RES Australia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Argyle Solar Farm,Argyle Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Armidale BESS,VALENT ENERGY DEVELOPMENTS PTY LTD, Storage - Battery ,Other - Other
 NSW1 ,,Project,Armidale Big BESS,ACEnergy Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,,Project,Augusta BESS,Trina Solar (Australia) Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,,Project,Aurora Solar Energy Project - Phase 1,SiliconAurora, Storage - Battery ,Other - Other
 VIC1 ,,Project,AusNet Services Deakin University Victoria Geelong PV Plant,AusNet Services Ltd, Solar PV - Single axis tracking ,Solar - Solar
 SA1 ,,Project,Australia Plains Solar Farm,UPC-AC, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,AVLSF1,Existing Plant,Avonlie Solar Farm,Iberdrola Australia Limited, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Axedale Solar Farm,UPC Renewables Australia, Storage - Battery ,Other - Other
 VIC1 ,,Project,Axedale Solar Farm,UPC Renewables Australia, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,BDL01,Existing Plant,Bairnsdale,Alinta DEBO, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 VIC1 ,BDL02,Existing Plant,Bairnsdale,Alinta DEBO, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 VIC1 ,,Project,Bairnsdale BESS,Bison Energy, Storage - Battery ,Other - Other
 QLD1 ,,Project,Baking Board Battery Storage - KCI,Solar Projects Australia Pty Ltd, Storage - Battery ,Solar - Solar
 QLD1 ,,Project,Baking Board BESS (MMT),MMT Projects T/A Renewable Projects Management, Storage - Battery ,Other - Other
 QLD1 ,,Project,Baking Board Solar Farm - KCI,Solar Projects Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar
 QLD1 ,,Project,Baking Board Solar Farm (MMT),MMT Projects T/A Renewable Projects Management, Solar PV - Fixed ,Solar - Solar
 QLD1 ,BAKING1,Existing Plant,Baking Board Solar Farm Chinchilla,Chinchilla Solar Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,BALDHWF1,Existing Plant,Bald Hills Wind Farm,Bald Hills Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Baldon Wind Farm,Baldon Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Baldon Wind Farm Stage 2,Baldon Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Baldon Wind Farm Stage 2 - BESS,Baldon Wind Farm Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,BBASEHOS,Existing Plant,Ballarat Base Hospital Plant,Ballarat Health Services, Reciprocating Engine - Compression ignition ,Fossil - Diesel
 VIC1 ,BALB1,Existing Plant,Ballarat Energy Storage System,Ausnet Transmission Group Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,,Project,Banana Range Wind Farm,Orange Creek Energy Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Banana Range Wind Farm,Orange Creek Energy Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,BANGOWF1,Existing Plant,Bango 973 Wind Farm,BWF Nominees Pty Ltd as trustee for the BWF Trust, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,BANGOWF2,Existing Plant,Bango 999 Wind Farm,BWF Nominees Pty Ltd as trustee for the BWF Trust, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,BAPS,Existing Plant,Banimboola,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water
 VIC1 ,BAPS,Existing Plant,Banimboola,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water
 QLD1 ,,Project,Banksia Solar Farm,Venn Energy Pty / Banksia Solar Project Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Bannaby BESS,Penso Power Australia Pty Ltd., Storage - Battery ,Other - Other
 NSW1 ,,Project,Bannaby BESS (AMPYR) - KCI,AMPYR, Storage - Battery ,Other - Other
 VIC1 ,BANN1,Existing Plant,Bannerton Solar Park,Foresight Solar Australia Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,BEER01,Project,Baranduda Electrical Energy Reserve,Birdwood Energy Reserve Pty Ltd (ACN 658 507 441) as Trustee for Birdwood Energy Reserve Trust, Storage - Battery ,Other - Other
 QLD1 ,BARCALDN,Existing Plant,Barcaldine Power Station,Ergon Energy Queensland Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 QLD1 ,BARCSF1,Existing Plant,Barcaldine Remote Community Solar Farm,Barcaldine Remote Community Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 SA1 ,BARKIPS1,Existing Plant,Barker Inlet Power Station,AGL Barker Inlet Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Natural Gas Pipeline
 SA1 ,,Project,Barker Inlet Power Station 2,AGL Energy Limited, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 SA1 ,,Project,Barn Hill,Barn HIll Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,,Project,Barn Hill BESS,AGL Energy Limited, Storage - Battery ,Other - Other
 VIC1 ,,Project,Barnawartha Solar & Energy Storage,Gentari, Solar PV - Single axis tracking ,Other - Other
 VIC1 ,,Project,Barnawartha Solar & Energy Storage,Gentari, Storage - Battery ,Other - Other
 SA1 ,,Project,Baroota Pumped Hydro Project,ACEN Renewables, Hydro - Dam ,Hydro - Water
 QLD1 ,BARRON-1,Existing Plant,Barron Gorge,CleanCo Queensland Limited, Hydro - Run of River ,Hydro - Water
 QLD1 ,BARRON-2,Existing Plant,Barron Gorge,CleanCo Queensland Limited, Hydro - Run of River ,Hydro - Water
 NSW1 ,,Project,Barwon Solar Farm & BESS,Elgin Energy Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Barwon Solar Farm & BESS,Elgin Energy Pty Ltd, Storage - Battery ,Other - Other
 TAS1 ,,Project,Bashan 1 Wind Farm,Goldwind Australia, Wind Turbine - Onshore ,Wind - Wind
 TAS1 ,,Project,Bass Offshore Wind Energy Project,Nexsphere Pty Ltd, Wind Turbine - Offshore ,Wind - Wind
 TAS1 ,BASTYAN,Existing Plant,Bastyan,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water
 TAS1 ,,Project,Battery of the Nation - Stage 2b,Hydro Tasmania, Storage - Pumped hydro ,Hydro - Water
 TAS1 ,,Project,Battery of the Nation - Stage 3b,Hydro Tasmania, Storage - Pumped hydro ,Hydro - Water
 NSW1 ,BW01,Existing Plant,Bayswater,AGL Macquarie Pty Limited, Turbine - Steam Sub Critical ,Fossil - Black Coal
 NSW1 ,BW02,Existing Plant,Bayswater,AGL Macquarie Pty Limited, Turbine - Steam Sub Critical ,Fossil - Black Coal
 NSW1 ,BW03,Existing Plant,Bayswater,AGL Macquarie Pty Limited, Turbine - Steam Sub Critical ,Fossil - Black Coal
 NSW1 ,BW04,Existing Plant,Bayswater,AGL Macquarie Pty Limited, Turbine - Steam Sub Critical ,Fossil - Black Coal
 QLD1 ,,Project,Beebo Battary - KCI,Jinko Power Australia P/L, Storage - Battery ,Other - Other
 QLD1 ,,Project,Beebo Solar Farm - KCI,Jinko Power Australia P/L, Solar PV - Fixed ,Solar - Solar
 QLD1 ,,Project,Beelbee Solar Farm,Darling Downs Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Belhaven Renewable Project,Vena Energy Services (Australia) Pty Ltd, Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Belhaven Renewable Project,Vena Energy Services (Australia) Pty Ltd, Storage - Battery ,Other - Other
 TAS1 ,BBTHREE1,Existing Plant,Bell Bay Three,AETV Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 TAS1 ,BBTHREE2,Existing Plant,Bell Bay Three,AETV Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 TAS1 ,BBTHREE3,Existing Plant,Bell Bay Three,AETV Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 NSW1 ,,Project,Bellambi Heights Renewables Project,Vena Energy, Storage - Battery ,Other - Other
 TAS1 ,,Project,Bellbay Wind Farm (Low Heads Wind Farm Stage 2),The Trustee for Equis Wind (Australia) LHWF2 Asset Trust, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Ben Bullen BESS,Tetris Energy, Storage - Battery ,Other - Other
 NSW1 ,,Project,Ben Bullen Solar Farm,Tetris Energy, Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Ben Bullen Wind Farm,Tetris Energy, Wind Turbine - Onshore ,Wind - Wind
